Released,Model,Family,Discontinued,Future release,Source link
"June 10, 2013",MacBook Air(Mid 2013),MacBook Air,"April 29, 2014",false,https://en.wikipedia.org/wiki/MacBook_Air_(Intel-based)
"September 20, 2013",iPhone 5S(64 GB),iPhone,"September 9, 2014",false,https://en.wikipedia.org/wiki/IPhone_5S
"September 20, 2013",iPhone 5C(16 & 32 GB),iPhone,"September 9, 2014",false,https://en.wikipedia.org/wiki/IPhone_5C
"September 20, 2013",iPhone 5S(16 & 32 GB),iPhone,"March 21, 2016",false,https://en.wikipedia.org/wiki/IPhone_5S
"September 24, 2013","iMac(27-inch, Late 2013)",iMac,"October 13, 2015",false,https://en.wikipedia.org/wiki/IMac
"November 01, 2013",iPad Air(64 & 128 GB),iPad,"October 16, 2014",false,https://en.wikipedia.org/wiki/IPad_Air
"November 12, 2013",iPad Mini 2with Retina display (32 GB),iPad,"March 21, 2017",false,https://en.wikipedia.org/wiki/IPad_Mini_2
"November 12, 2013",iPad Mini 2with Retina display (64 & 128 GB),iPad,"October 16, 2014",false,https://en.wikipedia.org/wiki/IPad_Mini_2
"September 19, 2014",iPhone 6 Plus(16 & 64 GB),iPhone,"September 7, 2016",false,https://en.wikipedia.org/wiki/IPhone_6_Plus
"September 19, 2014",iPhone 6(128 GB),iPhone,"September 9, 2015",false,https://en.wikipedia.org/wiki/IPhone_6
"September 19, 2014",iPhone 6 Plus(128 GB),iPhone,"September 9, 2015",false,https://en.wikipedia.org/wiki/IPhone_6_Plus
"October 16, 2014",Mac Mini(Late 2014),Mac Mini,"October 30, 2018",false,https://en.wikipedia.org/wiki/Mac_Mini
"October 22, 2014","iPad Mini 3(16, 64 & 128 GB)",iPad,"September 9, 2015",false,https://en.wikipedia.org/wiki/IPad_Mini_3
"October 22, 2014",iPad Air 2(128 GB),iPad,"March 21, 2017",false,https://en.wikipedia.org/wiki/IPad_Air_2
"March 09, 2015","MacBook Pro(Retina, 13-inch, Early 2015)",MacBook Pro,"June 5, 2017",false,https://en.wikipedia.org/wiki/MacBook_Pro
"March 09, 2015","MacBook Air(11-inch, Early 2015)",MacBook Air,"October 27, 2016",false,https://en.wikipedia.org/wiki/MacBook_Air_(Intel-based)
"April 24, 2015",Apple Watch Sport(1st generation),Apple Watch,"September 7, 2016",false,https://en.wikipedia.org/wiki/Apple_Watch_Sport
"April 24, 2015",Apple Watch Edition(1st generation),Apple Watch,"September 7, 2016",false,https://en.wikipedia.org/wiki/Apple_Watch_Edition
"May 19, 2015","iMac(Retina 5K, 27-inch, Mid 2015)",iMac,"October 13, 2015[citation needed]",false,https://en.wikipedia.org/wiki/IMac_(Intel-based)
"July 15, 2015",iPod Touch (6th generation)(16 GB and 64 GB),iPod Touch,"July 27, 2017",false,https://en.wikipedia.org/wiki/IPod_Touch_(6th_generation)
"September 09, 2015",iPad Mini 4(32 GB),iPad,"March 21, 2017",false,https://en.wikipedia.org/wiki/IPad_Mini_4
"September 09, 2015",iPad Mini 4(128 GB),iPad,"March 18, 2019",false,https://en.wikipedia.org/wiki/IPad_Mini_4
"September 25, 2015",iPhone 6S Plus(16GB and 64GB),iPhone,"September 7, 2016",false,https://en.wikipedia.org/wiki/IPhone_6S
"September 25, 2015",iPhone 6S Plus(128 GB),iPhone,"September 12, 2018",false,https://en.wikipedia.org/wiki/IPhone_6S
"September 25, 2015",iPhone 6S(128 GB),iPhone,"September 12, 2018",false,https://en.wikipedia.org/wiki/IPhone_6S
"October 13, 2015","iMac(Retina 4K, 21.5-inch, Late 2015)",iMac,"June 5, 2017",false,https://en.wikipedia.org/wiki/IMac_(Intel-based)
"October 13, 2015","iMac(Retina 5K, 27-inch, Late 2015)",iMac,"June 5, 2017",false,https://en.wikipedia.org/wiki/IMac_(Intel-based)
"October 13, 2015",Magic Mouse 2 (Lightning),Pointing devices,"October 28, 2024",false,https://en.wikipedia.org/wiki/Magic_Mouse_2
"October 13, 2015",Magic Trackpad 2 (Lightning),Pointing devices,"October 28, 2024",false,https://en.wikipedia.org/wiki/Magic_Trackpad_2
"October 13, 2015",Magic Keyboard (first generation),Keyboards,"May 21, 2021",false,https://en.wikipedia.org/wiki/Magic_Keyboard_(Mac)
"October 30, 2015",Siri Remote(1st generation),Apple TV,"April 20, 2021",false,https://en.wikipedia.org/wiki/Siri_Remote
"October 30, 2015",Apple TVHD (previously Apple TV (4th generation)) (64 GB),Apple TV,"September 12, 2017",false,https://en.wikipedia.org/wiki/Apple_TV_(device)
"November 11, 2015",Apple Pencil,iPad,current,false,https://en.wikipedia.org/wiki/Apple_Pencil
"March 31, 2016",iPad Pro(12.9-inch) (256 GB),iPad,"June 5, 2017",false,https://en.wikipedia.org/wiki/IPad_Pro
"March 31, 2016",iPhone SE (1st generation)(16 & 64 GB),iPhone,"March 21, 2017",false,https://en.wikipedia.org/wiki/IPhone_SE_(1st_generation)
"September 16, 2016",Apple Watch Edition Series 2,Apple Watch,"September 12, 2017",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_2
"September 16, 2016",Apple Watch Hermès Series 2,Apple Watch,"September 12, 2017",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_2
"September 16, 2016",Apple Watch Series 1,Apple Watch,"September 12, 2018",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_1
"September 16, 2016",Apple Watch Series 2,Apple Watch,"September 12, 2017",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_2
"September 16, 2016",iPhone 6S Plus(32 GB),iPhone,"September 12, 2018",false,https://en.wikipedia.org/wiki/IPhone_6S_Plus
"September 16, 2016",iPhone 7 Plus(32 & 128 GB),iPhone,"September 10, 2019",false,https://en.wikipedia.org/wiki/IPhone_7
"September 16, 2016",EarPodswith Lightning Connector,Headphones,current,false,https://en.wikipedia.org/wiki/EarPods
"September 16, 2016",iPhone 7(256 GB),iPhone,"September 12, 2017",false,https://en.wikipedia.org/wiki/IPhone_7
"September 16, 2016",iPhone 6S(32 GB),iPhone,"September 12, 2018",false,https://en.wikipedia.org/wiki/IPhone_6S
"September 16, 2016",iPhone 7 Plus(256 GB),iPhone,"September 12, 2017",false,https://en.wikipedia.org/wiki/IPhone_7
"October 27, 2016","MacBook Pro(13-inch, 2016, Four Thunderbolt 3 ports)",MacBook Pro,"June 5, 2017",false,https://en.wikipedia.org/wiki/MacBook_Pro
"October 27, 2016","MacBook Pro(15-inch, 2016)",MacBook Pro,"June 5, 2017",false,https://en.wikipedia.org/wiki/MacBook_Pro
"June 05, 2017","MacBook Pro(15-inch, 2017)",MacBook Pro,"July 12, 2018",false,https://en.wikipedia.org/wiki/MacBook_Pro
"June 05, 2017",Magic Keyboard with Numeric Keypad,Keyboards,current,false,https://en.wikipedia.org/wiki/Apple_Keyboard
"June 05, 2017","iMac(Retina 5K, 27-inch, 2017)",iMac,"March 19, 2019",false,https://en.wikipedia.org/wiki/IMac_(Intel-based)
"June 05, 2017","iMac(Retina 4K, 21.5-inch, 2017)",iMac,"March 19, 2019",false,https://en.wikipedia.org/wiki/IMac_(Intel-based)
"June 05, 2017","iMac(21.5-inch, 2017)",iMac,"October 30, 2021",false,https://en.wikipedia.org/wiki/IMac
"June 05, 2017","MacBook Pro(13-inch, 2017, Two Thunderbolt 3 ports)",MacBook Pro,"July 9, 2019",false,https://en.wikipedia.org/wiki/MacBook_Pro
"June 05, 2017","MacBook(Retina, 12-inch, 2017)",MacBook,"July 9, 2019",false,https://en.wikipedia.org/wiki/MacBook_(2015_version)
"June 05, 2017","MacBook Air(13-inch, 2017)",MacBook Air,"July 9, 2019",false,https://en.wikipedia.org/wiki/MacBook_Air_(Intel-based)
"June 05, 2017",iPad Pro(10.5-inch),iPad,"March 18, 2019",false,https://en.wikipedia.org/wiki/IPad_Pro
"June 05, 2017","MacBook Pro(13-inch, 2017, Four Thunderbolt 3 ports)",MacBook Pro,"July 12, 2018",false,https://en.wikipedia.org/wiki/MacBook_Pro
"September 22, 2017",iPhone 8(64 GB),iPhone,"April 15, 2020",false,https://en.wikipedia.org/wiki/IPhone_8
"September 22, 2017",iPhone 8 Plus(64 GB),iPhone,"April 15, 2020",false,https://en.wikipedia.org/wiki/IPhone_8
"September 22, 2017",iPhone 8(256 GB),iPhone,"September 10, 2019",false,https://en.wikipedia.org/wiki/IPhone_8
"September 22, 2017",iPhone 8 Plus(256 GB),iPhone,"September 10, 2019",false,https://en.wikipedia.org/wiki/IPhone_8
"September 22, 2017",Apple Watch Nike+ Series 3,Apple Watch,"September 15, 2020",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_3
"September 22, 2017",Apple Watch Hermès Series 3,Apple Watch,"September 12, 2018",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_3
"September 22, 2017",Apple Watch Series 3,Apple Watch,"September 7, 2022",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_3
"September 22, 2017",Apple Watch Edition Series 3,Apple Watch,"September 12, 2018",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_3
"July 12, 2018","MacBook Pro(15-inch, 2018)",MacBook Pro,"May 21, 2019",false,https://en.wikipedia.org/wiki/MacBook_Pro
"September 21, 2018",Apple Watch Hermès Series 4,Apple Watch,"September 10, 2019",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_4
"September 21, 2018",Apple Watch Nike+ Series 4,Apple Watch,"September 10, 2019",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_4
"September 21, 2018",iPhone XS,iPhone,"September 10, 2019",false,https://en.wikipedia.org/wiki/IPhone_XS
"September 21, 2018",iPhone XS Max,iPhone,"September 10, 2019",false,https://en.wikipedia.org/wiki/IPhone_XS
"October 26, 2018",iPhone XR(256 GB),iPhone,"September 10, 2019",false,https://en.wikipedia.org/wiki/IPhone_XR
"November 07, 2018",Mac Mini(2018) (Intel Core i5 and i7),Mac Mini,"January 17, 2023",false,https://en.wikipedia.org/wiki/Mac_Mini
"November 07, 2018",Mac Mini(2018) (Intel Core i3),Mac Mini,"November 17, 2020",false,https://en.wikipedia.org/wiki/Mac_Mini
"November 07, 2018",iPad Pro(11-inch) (1st generation),iPad,"March 18, 2020",false,https://en.wikipedia.org/wiki/IPad_Pro
"November 07, 2018",iPad Pro(12.9-inch) (3rd generation),iPad,"March 18, 2020",false,https://en.wikipedia.org/wiki/IPad_Pro
"November 07, 2018","MacBook Air(Retina, 13-inch, 2018)",MacBook Air,"July 9, 2019",false,https://en.wikipedia.org/wiki/MacBook_Air_(Intel-based)
"March 18, 2019",iPad Mini (5th generation),iPad,"September 14, 2021",false,https://en.wikipedia.org/wiki/IPad_Mini_(5th_generation)
"March 19, 2019","iMac(Retina 5K, 27-inch, 2019)",iMac,"August 4, 2020",false,https://en.wikipedia.org/wiki/IMac_(Intel-based)
"May 21, 2019","MacBook Pro(15-inch, 2019)",MacBook Pro,"November 13, 2019",false,https://en.wikipedia.org/wiki/MacBook_Pro
"July 09, 2019","MacBook Pro(13-inch, 2019, Two Thunderbolt 3 ports)",MacBook Pro,"May 4, 2020",false,https://en.wikipedia.org/wiki/MacBook_Pro
"September 20, 2019",iPhone 11 Pro,iPhone,"October 13, 2020",false,https://en.wikipedia.org/wiki/IPhone_11_Pro
"September 20, 2019",iPhone 11,iPhone,"September 7, 2022",false,https://en.wikipedia.org/wiki/IPhone_11
"September 20, 2019",iPhone 11 Pro Max,iPhone,"October 13, 2020",false,https://en.wikipedia.org/wiki/IPhone_11_Pro
"September 20, 2019",iPhone 8 Plus(128 GB),iPhone,"April 15, 2020",false,https://en.wikipedia.org/wiki/IPhone_8
"September 20, 2019",iPhone 8(128 GB),iPhone,"April 15, 2020",false,https://en.wikipedia.org/wiki/IPhone_8
"September 20, 2019",Apple Watch Edition Series 5,Apple Watch,"September 15, 2020",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_5
"September 20, 2019",Apple Watch Nike Series 5,Apple Watch,"September 15, 2020",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_5
"September 20, 2019",Apple Watch Hermès Series 5,Apple Watch,"September 15, 2020",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_5
"December 10, 2019",Pro Display XDR,Displays,current,false,https://en.wikipedia.org/wiki/Pro_Display_XDR
"March 18, 2020",iPad Pro(12.9-inch) (4th generation),iPad,"April 20, 2021",false,https://en.wikipedia.org/wiki/IPad_Pro
"March 18, 2020",Magic Keyboard for iPad,Keyboards,current,false,https://en.wikipedia.org/wiki/Magic_Keyboard_for_iPad
"March 18, 2020","MacBook Air(Retina, 13-inch, 2020)",MacBook Air,"November 17, 2020",false,https://en.wikipedia.org/wiki/MacBook_Air_(Intel-based)
"May 04, 2020","MacBook Pro(13-inch, 2020, Two Thunderbolt 3 ports)",MacBook Pro,"November 17, 2020",false,https://en.wikipedia.org/wiki/MacBook_Pro
"September 18, 2020",iPad (8th generation),iPad,"September 14, 2021",false,https://en.wikipedia.org/wiki/IPad_(8th_generation)
"September 18, 2020",Apple Watch SE,Apple Watch,"September 7, 2022",false,https://en.wikipedia.org/wiki/Apple_Watch_SE
"September 18, 2020",Apple Watch Hermès Series 6,Apple Watch,"October 8, 2021",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_6
"September 18, 2020",Apple Watch Nike Series 6,Apple Watch,"October 8, 2021",false,https://en.wikipedia.org/wiki/Apple_Watch_Series_6
"October 23, 2020",iPhone 12,iPhone,"September 12, 2023",false,https://en.wikipedia.org/wiki/IPhone_12
"October 23, 2020",iPhone 12 Pro,iPhone,"September 14, 2021",false,https://en.wikipedia.org/wiki/IPhone_12_Pro
"November 13, 2020",iPhone 12 Pro Max,iPhone,"September 14, 2021",false,https://en.wikipedia.org/wiki/IPhone_12_Pro
"November 13, 2020",MagSafe Charger(15 W),iPhone accessories,"September 9, 2024",false,https://en.wikipedia.org/wiki/MagSafe_(wireless_charger)#MagSafe_Charger
"November 13, 2020",MagSafe Duo Charger,iPhone accessories,"September 12, 2023",false,https://en.wikipedia.org/wiki/MagSafe_(wireless_charger)#MagSafe_Duo_Charger
"November 17, 2020","MacBook Air(13-inch, M1, 2020)",MacBook Air,"March 4, 2024",false,https://en.wikipedia.org/wiki/MacBook_Air_(Apple_silicon)
"November 17, 2020","MacBook Pro(13-inch, M1, 2020)",MacBook Pro,"June 6, 2022",false,https://en.wikipedia.org/wiki/MacBook_Pro
"May 21, 2021",iPad Pro(11-inch) (3rd generation),iPad,"October 18, 2022",false,https://en.wikipedia.org/wiki/IPad_Pro_(5th_generation)
"May 21, 2021",iPad Pro(12.9-inch) (5th generation),iPad,"October 18, 2022",false,https://en.wikipedia.org/wiki/IPad_Pro_(5th_generation)
"May 21, 2021",Magic Keyboardwith Touch ID and Numeric Keypad (Lightning),Keyboards,"October 28, 2024",false,https://en.wikipedia.org/wiki/Magic_Keyboard_(Mac)
"May 21, 2021",Magic Keyboardwith Touch ID (Lightning),Keyboards,"October 28, 2024",false,https://en.wikipedia.org/wiki/Magic_Keyboard_(Mac)
"May 21, 2021","Magic Keyboard (second generation, Lightning)",Keyboards,"October 28, 2024",false,https://en.wikipedia.org/wiki/Magic_Keyboard_(Mac)
"May 21, 2021","iMac(24-inch, M1, 2021)",iMac,"October 30, 2023",false,https://en.wikipedia.org/wiki/IMac_(Apple_silicon)
"May 21, 2021",Siri Remote(2nd generation),Apple TV,"October 18, 2022",false,https://en.wikipedia.org/wiki/Siri_Remote
"September 24, 2021",iPad Mini (6th generation),iPad,"October 15, 2024",false,https://en.wikipedia.org/wiki/IPad_Mini_(6th_generation)
"September 24, 2021",iPhone 13,iPhone,"September 9, 2024",false,https://en.wikipedia.org/wiki/IPhone_13
"September 24, 2021",iPhone 13 Mini,iPhone,"September 12, 2023",false,https://en.wikipedia.org/wiki/IPhone_13
"September 24, 2021",iPhone 13 Pro,iPhone,"September 7, 2022",false,https://en.wikipedia.org/wiki/IPhone_13_Pro
"September 24, 2021",iPhone 13 Pro Max,iPhone,September 7. 2022,false,https://en.wikipedia.org/wiki/IPhone_13_Pro
"October 26, 2021","HomePod Mini(blue, orange and yellow)",Speakers,current,false,https://en.wikipedia.org/wiki/HomePod_Mini
"October 26, 2021","MacBook Pro(16-inch, M1 Pro and M1 Max, 2021)",MacBook Pro,"January 17, 2023",false,https://en.wikipedia.org/wiki/MacBook_Pro
"October 26, 2021",Apple Polishing Cloth,Cleaning aid,current,false,https://en.wikipedia.org/wiki/Apple_Polishing_Cloth
"October 26, 2021",MagSafeCharging Case forAirPods Pro,Headphones,"September 7, 2022",false,https://en.wikipedia.org/wiki/MagSafe_(smartphones)
"October 26, 2021","MacBook Pro(14-inch, M1 Pro and M1 Max, 2021)",MacBook Pro,"January 17, 2023",false,https://en.wikipedia.org/wiki/MacBook_Pro
"March 18, 2022",iPad Air (5th generation),iPad,"May 7, 2024",false,https://en.wikipedia.org/wiki/IPad_Air_(5th_generation)
"March 18, 2022",iPhone SE (3rd generation),iPhone,"February 19, 2025",false,https://en.wikipedia.org/wiki/IPhone_SE_(3rd_generation)
"March 18, 2022",Mac Studio,Mac Studio,"June 5, 2023",false,https://en.wikipedia.org/wiki/Mac_Studio
"September 16, 2022",Apple Watch SE (2nd generation),Apple Watch,"September 9, 2025",false,https://en.wikipedia.org/wiki/Apple_Watch
"September 16, 2022",iPhone 14,iPhone,"February 19, 2025",false,https://en.wikipedia.org/wiki/IPhone_14
"September 16, 2022",iPhone 14 Pro,iPhone,"September 12, 2023",false,https://en.wikipedia.org/wiki/IPhone_14_Pro
"September 16, 2022",iPhone 14 Pro Max,iPhone,"September 12, 2023",false,https://en.wikipedia.org/wiki/IPhone_14_Pro
"September 23, 2022",Apple Watch Ultra,Apple Watch,"September 12, 2023",false,https://en.wikipedia.org/wiki/Apple_Watch
"October 26, 2022",iPad Pro(11-inch) (4th generation),iPad,"May 7, 2024",false,https://en.wikipedia.org/wiki/IPad_Pro_(6th_generation)
"October 26, 2022",iPad Pro(12.9-inch) (6th generation),iPad,"May 7, 2024",false,https://en.wikipedia.org/wiki/IPad_Pro_(6th_generation)
"November 04, 2022",Siri Remote(3rd generation),Apple TV,current,false,https://en.wikipedia.org/wiki/Siri_Remote
"January 24, 2023","MacBook Pro(M2 Pro/M2 Max) (14-inch, 2023)",MacBook Pro,"October 30, 2023",false,https://en.wikipedia.org/wiki/MacBook_Pro
"January 24, 2023","MacBook Pro(M2 Pro/M2 Max) (16-inch, 2023)",MacBook Pro,"October 30, 2023",false,https://en.wikipedia.org/wiki/MacBook_Pro
"June 13, 2023","Mac Pro(M2 Ultra, 2023)",Mac Pro,current,false,https://en.wikipedia.org/wiki/Mac_Pro
"June 13, 2023","MacBook Air(15-inch, M2, 2023)",MacBook Air,"March 4, 2024",false,https://en.wikipedia.org/wiki/MacBook_Air
"September 22, 2023","AirPods Pro(2nd generation, USB-C case)",Headphones,"September 9, 2025",false,https://en.wikipedia.org/wiki/AirPods_Pro
"September 22, 2023",iPhone 15 Pro Max,iPhone,"September 9, 2024",false,https://en.wikipedia.org/wiki/IPhone_15_Pro
"September 22, 2023",iPhone 15 Pro,iPhone,"September 9, 2024",false,https://en.wikipedia.org/wiki/IPhone_15_Pro
"September 22, 2023",EarPods(USB-C),Headphones,current,false,https://en.wikipedia.org/wiki/EarPods
"September 22, 2023",iPhone 15,iPhone,"September 9, 2025",false,https://en.wikipedia.org/wiki/IPhone_15
"September 22, 2023",Apple Watch Ultra 2,Apple Watch,"September 9, 2025",false,https://en.wikipedia.org/wiki/Apple_Watch
"September 22, 2023",iPhone 15 Plus,iPhone,"September 9, 2025",false,https://en.wikipedia.org/wiki/IPhone_15
"November 07, 2023","MacBook Pro(M3/M3 Pro/M3 Max) (14-inch, 2023)",MacBook Pro,"October 30, 2024",false,https://en.wikipedia.org/wiki/MacBook_Pro
"November 07, 2023","MacBook Pro(M3 Pro/M3 Max) (16-inch, 2023)",MacBook Pro,"October 30, 2024",false,https://en.wikipedia.org/wiki/MacBook_Pro
"March 08, 2024",MacBook Air15-in. (M3),MacBook Air,"March 5, 2025",false,https://en.wikipedia.org/wiki/MacBook_Air
"May 15, 2024",Magic Keyboard for iPad Pro,Keyboards,current,false,https://en.wikipedia.org/wiki/Apple_keyboards#Magic_Keyboard_for_iPad
"May 15, 2024",iPad Air11-in. (M2),iPad,"March 4, 2025",false,https://en.wikipedia.org/wiki/IPad_Air_(6th_generation)
"May 15, 2024",iPad Air13-in. (M2),iPad,"March 4, 2025",false,https://en.wikipedia.org/wiki/IPad_Air_(6th_generation)
"May 15, 2024",iPad Pro11-in. (M4),iPad,"October 15, 2025",false,https://en.wikipedia.org/wiki/IPad_Pro_(7th_generation)
"May 15, 2024",iPad Pro13-in. (M4),iPad,"October 15, 2025",false,https://en.wikipedia.org/wiki/IPad_Pro_(7th_generation)
"September 20, 2024",iPhone 16 Pro,iPhone,"September 9, 2025",false,https://en.wikipedia.org/wiki/IPhone_16_Pro
"September 20, 2024",iPhone 16 Pro Max,iPhone,"September 9, 2025",false,https://en.wikipedia.org/wiki/IPhone_16_Pro
"September 20, 2024",iPhone 16,iPhone,current,false,https://en.wikipedia.org/wiki/IPhone_16
"September 20, 2024",iPhone 16 Plus,iPhone,current,false,https://en.wikipedia.org/wiki/IPhone_16
"September 20, 2024",Apple Watch Series 10,Apple Watch,"September 9, 2025",false,https://en.wikipedia.org/wiki/Apple_Watch
"September 20, 2024",AirPods Max(USB-C),Headphones,current,false,https://en.wikipedia.org/wiki/AirPods_Max
"September 20, 2024",Apple Watch Ultra 2(black),Apple Watch,"September 9, 2025",false,https://en.wikipedia.org/wiki/Apple_Watch_Ultra
"October 28, 2024",Magic Trackpad 2 (USB-C),Pointing devices,current,false,https://en.wikipedia.org/wiki/Magic_Trackpad_2
"October 28, 2024","Magic Keyboard (second generation, USB-C)",Keyboards,current,false,https://en.wikipedia.org/wiki/Magic_Keyboard_(Mac)
"October 28, 2024",Magic Keyboardwith Touch ID (USB-C),Keyboards,current,false,https://en.wikipedia.org/wiki/Magic_Keyboard_(Mac)
"October 28, 2024",Magic Keyboardwith Touch ID and Numeric Keypad (USB-C),Keyboards,current,false,https://en.wikipedia.org/wiki/Magic_Keyboard_(Mac)
"November 08, 2024","MacBook Pro(M4 Pro/M4 Max) (14-inch, 2024)",MacBook Pro,current,false,https://en.wikipedia.org/wiki/MacBook_Pro
"November 08, 2024","Mac Mini(M4/M4 Pro, 2024)",Mac Mini,current,false,https://en.wikipedia.org/wiki/Mac_Mini
"November 08, 2024","MacBook Pro(M4) (14-inch, 2024)",MacBook Pro,"October 15, 2025",false,https://en.wikipedia.org/wiki/MacBook_Pro
"November 08, 2024","MacBook Pro(M4 Pro/M4 Max) (16-inch, 2024)",MacBook Pro,current,false,https://en.wikipedia.org/wiki/MacBook_Pro
"March 12, 2025","Mac Studio(M4 Max/M3 Ultra, 2025)",Mac Studio,current,false,https://en.wikipedia.org/wiki/Mac_Studio
"March 12, 2025",MacBook Air15-in. (M4),MacBook Air,current,false,https://en.wikipedia.org/wiki/MacBook_Air
"March 12, 2025",iPad Air11-in. (M3),iPad,current,false,https://en.wikipedia.org/wiki/IPad_Air_(7th_generation)
"March 12, 2025",iPad Air13-in. (M3),iPad,current,false,https://en.wikipedia.org/wiki/IPad_Air_(7th_generation)
"March 12, 2025",MacBook Air13-in. (M4),MacBook Air,current,false,https://en.wikipedia.org/wiki/MacBook_Air
"September 09, 2025",MagSafe Charger(25 W Qi2),iPhone accessories,current,false,https://en.wikipedia.org/wiki/MagSafe_(wireless_charger)#MagSafe_Charger
"September 19, 2025",iPhone Air,iPhone,current,false,https://en.wikipedia.org/wiki/IPhone_Air
"September 19, 2025",iPhone 17,iPhone,current,false,https://en.wikipedia.org/wiki/IPhone_17
"September 19, 2025",iPhone 17 Pro,iPhone,current,false,https://en.wikipedia.org/wiki/IPhone_17_Pro
"September 19, 2025",Apple Watch Series 11,Apple Watch,current,false,https://en.wikipedia.org/wiki/Apple_Watch
"September 19, 2025",Apple Watch SE 3,Apple Watch,current,false,https://en.wikipedia.org/wiki/Apple_Watch
"September 19, 2025",Apple Watch Ultra 3,Apple Watch,current,false,https://en.wikipedia.org/wiki/Apple_Watch
"September 19, 2025",iPhone 17 Pro Max,iPhone,current,false,https://en.wikipedia.org/wiki/IPhone_17_Pro
"October 22, 2025","MacBook Pro(M5) (14-inch, 2025)",MacBook Pro,current,false,https://en.wikipedia.org/wiki/MacBook_Pro
"October 22, 2025",iPad Pro13-in. (M5),iPad,current,false,https://en.wikipedia.org/wiki/IPad_Pro_(8th_generation)
"October 22, 2025",Apple Vision Pro(M5),Apple Vision Pro,current,false,https://en.wikipedia.org/wiki/Apple_Vision_Pro
