Released,Model,Family,Discontinued,Future release,Source link
"October 21, 1991",Macintosh Quadra 900,,current,false,https://en.wikipedia.org/wiki/Macintosh_Quadra_900
"October 21, 1991",Macintosh Quadra 700,Quadra,"March 15, 1993",false,https://en.wikipedia.org/wiki/Macintosh_Quadra_700
"October 19, 1992",Macintosh IIvx,Mac II,"October 10, 1993",false,https://en.wikipedia.org/wiki/Macintosh_IIvx
"October 19, 1992",PowerBook 160,PowerBook 100,"August 16, 1993",false,https://en.wikipedia.org/wiki/PowerBook_160
"October 19, 1992",PowerBook 180,PowerBook 100,"May 16, 1994",false,https://en.wikipedia.org/wiki/PowerBook_180
"October 19, 1992",PowerBook Duo 210,PowerBook Duo,"October 21, 1993",false,https://en.wikipedia.org/wiki/PowerBook_Duo_210
"October 19, 1992",PowerBook Duo 230,PowerBook Duo,"July 27, 1994",false,https://en.wikipedia.org/wiki/PowerBook_Duo_230
"October 19, 1992",Powerbook Duo Dock,PowerBook Duo,"July 27, 1994",false,https://en.wikipedia.org/wiki/Duo_Dock
"January 01, 1993",Apple Color Printer,StyleWriter,"February 1, 1994",false,https://en.wikipedia.org/wiki/Apple_Color_Printer
"January 01, 1993",LaserWriter Pro 600,LaserWriter,"October 1, 1993",false,https://en.wikipedia.org/wiki/LaserWriter_Pro_600
"January 01, 1993",LaserWriter Pro 630,LaserWriter,"September 1, 1994",false,https://en.wikipedia.org/wiki/LaserWriter_Pro_630
"February 10, 1993",LaserWriter Select 310,LaserWriter,"January 1, 1994",false,https://en.wikipedia.org/wiki/LaserWriter_Select_310
"February 10, 1993",LaserWriter Select 300,LaserWriter,"January 3, 1995",false,https://en.wikipedia.org/wiki/LaserWriter_Select_300
"February 10, 1993",PowerBook 165c,PowerBook 100,"December 13, 1993",false,https://en.wikipedia.org/wiki/PowerBook_160#PowerBook_165c
"February 10, 1993",Macintosh Centris/Quadra 610,Centris,"October 21, 1993",false,https://en.wikipedia.org/wiki/Macintosh_Quadra_610
"February 10, 1993",Macintosh Centris/Quadra 650,Centris,"October 21, 1993",false,https://en.wikipedia.org/wiki/Macintosh_Quadra_650
"February 10, 1993",Macintosh Color Classic,Compact,"May 16, 1994",false,https://en.wikipedia.org/wiki/Macintosh_Color_Classic
"February 10, 1993",Quadra 800,Quadra,"March 14, 1994",false,https://en.wikipedia.org/wiki/Quadra_800
"March 22, 1993",Workgroup Server 95,Workgroup Server,"April 3, 1995",false,https://en.wikipedia.org/wiki/Quadra_950
"March 22, 1993",PowerCD,PowerCD,"January 1, 1995",false,https://en.wikipedia.org/wiki/PowerCD
"March 22, 1993",Apple Design Powered Speakers,Speakers,"January 1, 1995",false,https://en.wikipedia.org/wiki/PowerCD#AppleDesign_Powered_Speakers
"June 07, 1993",PowerBook 180c,PowerBook 100,"March 14, 1994",false,https://en.wikipedia.org/wiki/PowerBook_180c
"July 29, 1993",Quadra 840AV,Quadra,"July 18, 1994",false,https://en.wikipedia.org/wiki/Quadra_840AV
"August 16, 1993",PowerBook 165,PowerBook 100,"July 18, 1994",false,https://en.wikipedia.org/wiki/PowerBook_160#PowerBook_165
